# lat,long,cluster
-1.604090095036509123e+00,-1.444266913778381456e+00,0.000000000000000000e+00
-2.527247962698139783e-01,-1.043657871939321025e+00,0.000000000000000000e+00
-1.744216457868236481e-01,-1.051717395431581270e+00,0.000000000000000000e+00
-1.744216457868236481e-01,-1.051717395431581270e+00,0.000000000000000000e+00
-1.597600399373813873e-01,-1.056395300675340598e+00,0.000000000000000000e+00
-1.744216457868236481e-01,-1.051717395431581270e+00,0.000000000000000000e+00
-1.597600399373813873e-01,-1.056395300675340598e+00,0.000000000000000000e+00
-1.744216457868236481e-01,-1.051717395431581270e+00,0.000000000000000000e+00
-1.744216457868236481e-01,-1.051717395431581270e+00,0.000000000000000000e+00
-1.744216457868236481e-01,-1.051717395431581270e+00,0.000000000000000000e+00
-1.744216457868236481e-01,-1.051717395431581270e+00,0.000000000000000000e+00
-1.597600399373813873e-01,-1.056395300675340598e+00,0.000000000000000000e+00
-1.744216457868236481e-01,-1.051717395431581270e+00,0.000000000000000000e+00
-4.115742766796374186e-01,-1.971010316286521125e+00,1.000000000000000000e+00
-1.604090095036509123e+00,-1.444266913778381456e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.597600399373813873e-01,-1.056395300675340598e+00,0.000000000000000000e+00
